date,nav
2014-01-29,10.0022
2014-01-30,10.0044
2014-01-31,10.0067
2014-02-03,10.0138
2014-02-04,10.0133
2014-02-05,10.014
2014-02-06,10.0239
2014-02-07,10.0207
2014-02-10,10.0271
2014-02-11,10.0274
2014-02-12,10.0271
2014-02-13,10.0243
2014-02-14,10.0233
2014-02-17,10.0303
2014-02-18,10.0328
2014-02-20,10.0376
2014-02-21,10.0409
2014-02-24,10.0483
2014-02-25,10.0515
2014-02-26,10.0529
2014-02-28,10.0559
2014-03-03,10.0552
2014-03-04,10.0546
2014-03-05,10.0707
2014-03-06,10.074
2014-03-07,10.0847
2014-03-10,10.0933
2014-03-11,10.102
2014-03-12,10.1046
2014-03-13,10.1065
2014-03-14,10.1155
2014-03-18,10.1276
2014-03-19,10.1312
2014-03-20,10.1373
2014-03-21,10.1502
2014-03-24,10.1626
2014-03-25,10.1642
2014-03-26,10.1637
2014-03-27,10.1658
2014-03-28,10.1793
2014-03-31,10.1863
2014-04-02,10.1838
2014-04-03,10.1851
2014-04-04,10.1858
2014-04-07,10.1924
2014-04-09,10.193
2014-04-10,10.1968
2014-04-11,10.1993
2014-04-15,10.2098
2014-04-16,10.2126
2014-04-17,10.2182
2014-04-21,10.2278
2014-04-22,10.2297
2014-04-23,10.2322
2014-04-25,10.2366
2014-04-28,10.2424
2014-04-29,10.2442
2014-04-30,10.2484
2014-05-02,10.2529
2014-05-05,10.2608
2014-05-06,10.2646
2014-05-07,10.267
2014-05-08,10.2715
2014-05-09,10.2759
2014-05-12,10.2864
2014-05-13,10.2876
2014-05-15,10.2946
2014-05-16,10.3008
2014-05-19,10.3066
2014-05-20,10.3102
2014-05-21,10.3149
2014-05-22,10.3197
2014-05-23,10.323
2014-05-26,10.3309
2014-05-27,10.332
2014-05-28,10.334
2014-05-29,10.3369
2014-05-30,10.3424
2014-06-02,10.3478
2014-06-03,10.3538
2014-06-04,10.3605
2014-06-05,10.3639
2014-06-06,10.3677
2014-06-09,10.3735
2014-06-10,10.3751
2014-06-11,10.3782
2014-06-12,10.3817
2014-06-13,10.3825
2014-06-16,10.387
2014-06-17,10.3889
2014-06-18,10.3919
2014-06-19,10.3942
2014-06-20,10.3962
2014-06-23,10.4025
2014-06-24,10.405
2014-06-25,10.4073
2014-06-26,10.4106
2014-06-27,10.4135
2014-06-30,10.424
2014-07-02,10.4298
2014-07-03,10.4328
2014-07-04,10.4362
2014-07-07,10.4432
2014-07-08,10.4449
2014-07-09,10.4465
2014-07-10,10.447
2014-07-11,10.4399
2014-07-14,10.4472
2014-07-15,10.451
2014-07-16,10.455
2014-07-17,10.4584
2014-07-18,10.4618
2014-07-21,10.4692
2014-07-22,10.4717
2014-07-23,10.4737
2014-07-24,10.4747
2014-07-25,10.4777
2014-07-28,10.4843
2014-07-30,10.4902
2014-07-31,10.4913
2014-08-01,10.4934
2014-08-04,10.5009
2014-08-05,10.5042
2014-08-06,10.505
2014-08-07,10.5066
2014-08-08,10.5085
2014-08-11,10.5149
2014-08-12,10.5179
2014-08-13,10.5198
2014-08-14,10.522
2014-08-19,10.5346
2014-08-20,10.5367
2014-08-21,10.5417
2014-08-22,10.546
2014-08-25,10.5539
2014-08-26,10.558
2014-08-27,10.561
2014-08-28,10.5635
2014-09-01,10.5733
2014-09-02,10.5755
2014-09-03,10.5784
2014-09-04,10.5809
2014-09-05,10.5837
2014-09-08,10.5911
2014-09-09,10.5933
2014-09-10,10.5956
2014-09-11,10.5979
2014-09-12,10.6005
2014-09-15,10.608
2014-09-16,10.6106
2014-09-17,10.613
2014-09-18,10.6163
2014-09-19,10.6191
2014-09-22,10.6269
2014-09-23,10.6294
2014-09-24,10.6319
2014-09-25,10.6344
2014-09-26,10.6368
2014-09-29,10.6443
2014-09-30,10.6488
2014-10-01,10.6524
2014-10-07,10.6685
2014-10-08,10.6729
2014-10-09,10.6759
2014-10-10,10.6784
2014-10-13,10.6864
2014-10-14,10.6888
2014-10-16,10.6943
2014-10-17,10.6974
2014-10-20,10.7054
2014-10-21,10.7078
2014-10-22,10.7099
2014-10-27,10.7231
2014-10-28,10.7266
2014-10-29,10.7294
2014-10-30,10.7326
2014-10-31,10.7355
2014-11-03,10.7444
2014-11-05,10.7506
2014-11-07,10.7562
2014-11-10,10.7637
2014-11-11,10.766
2014-11-12,10.7682
2014-11-13,10.7705
2014-11-14,10.7726
2014-11-17,10.7801
2014-11-18,10.7827
2014-11-19,10.7852
2014-11-20,10.7876
2014-11-21,10.79
2014-11-24,10.7973
2014-11-25,10.8002
2014-11-26,10.8026
2014-11-27,10.8052
2014-11-28,10.8077
2014-12-01,10.8159
2014-12-02,10.8183
2014-12-03,10.8208
2014-12-04,10.8232
2014-12-05,10.8256
2014-12-08,10.8329
2014-12-09,10.8353
2014-12-10,10.8378
2014-12-11,10.8402
2014-12-12,10.8426
2014-12-15,10.8499
2014-12-16,10.8524
2014-12-17,10.8548
2014-12-18,10.8572
2014-12-19,10.8597
2014-12-22,10.867
2014-12-23,10.8694
2014-12-24,10.8718
2014-12-26,10.8767
2014-12-29,10.884
2014-12-30,10.8864
2014-12-31,10.8889
2015-01-01,10.8913
2015-01-02,10.8937
2015-01-05,10.901
2015-01-06,10.9034
2015-01-07,10.9058
2015-01-08,10.9082
2015-01-09,10.9107
2015-01-12,10.9179
2015-01-13,10.9203
2015-01-14,10.9227
2015-01-15,10.9251
2015-01-16,10.9276
2015-01-19,10.9348
2015-01-20,10.9372
2015-01-21,10.9396
2015-01-22,10.9421
2015-01-23,10.9445
2015-01-27,10.9541
2015-01-28,10.9565
2015-01-29,10.959
2015-01-30,10.9614
2015-02-02,10.9686
2015-02-03,10.9708
2015-02-04,10.974
2015-02-05,10.9763
2015-02-06,10.9786
2015-02-09,10.985
2015-02-10,10.9871
2015-02-11,10.9895
2015-02-12,10.9918
2015-02-13,10.993
2015-02-16,11.0035
2015-02-18,11.0076
2015-02-20,11.0134
2015-02-23,11.0247
2015-02-24,11.0331
2015-02-25,11.0398
2015-02-26,11.0416
2015-02-27,11.0431
2015-03-02,11.0505
2015-03-03,11.0465
2015-03-04,11.0665
2015-03-05,11.0655
2015-03-09,11.0692
2015-03-10,11.0704
2015-03-11,11.073
2015-03-12,11.0751
2015-03-13,11.0743
2015-03-16,11.0806
2015-03-17,11.0862
2015-03-18,11.087
2015-03-19,11.0905
2015-03-20,11.0919
2015-03-23,11.1008
2015-03-24,11.1018
2015-03-25,11.103
2015-03-26,11.1073
2015-03-27,11.1113
2015-03-30,11.1199
2015-03-31,11.131
2015-04-06,11.1513
2015-04-07,11.1636
2015-04-08,11.1633
2015-04-09,11.1693
2015-04-10,11.1729
2015-04-13,11.1829
2015-04-15,11.1871
2015-04-16,11.1829
2015-04-17,11.1851
2015-04-20,11.1939
2015-04-21,11.2001
2015-04-22,11.2026
2015-04-23,11.2034
2015-04-24,11.2073
2015-04-27,11.2105
2015-04-28,11.2152
2015-04-29,11.2145
2015-04-30,11.2082
2015-05-05,11.215
2015-05-06,11.2129
2015-05-07,11.2028
2015-05-08,11.2011
2015-05-11,11.2095
2015-05-12,11.2204
2015-05-13,11.2257
2015-05-14,11.2252
2015-05-15,11.2243
2015-05-18,11.239
2015-05-19,11.2402
2015-05-20,11.2393
2015-05-21,11.248
2015-05-22,11.251
2015-05-25,11.2614
2015-05-26,11.2686
2015-05-27,11.2748
2015-05-28,11.2779
2015-05-29,11.2812
2015-06-01,11.3005
2015-06-02,11.2914
2015-06-03,11.2943
2015-06-04,11.2948
2015-06-05,11.2975
2015-06-08,11.3084
2015-06-09,11.311
2015-06-10,11.3091
2015-06-11,11.3009
2015-06-12,11.304
2015-06-15,11.308
2015-06-16,11.3077
2015-06-17,11.3134
2015-06-18,11.3207
2015-06-19,11.3258
2015-06-22,11.3349
2015-06-23,11.3342
2015-06-24,11.3358
2015-06-25,11.3362
2015-06-26,11.3367
2015-06-29,11.3408
2015-06-30,11.3447
2015-07-01,11.3499
2015-07-02,11.3527
2015-07-03,11.3587
2015-07-06,11.3696
2015-07-07,11.3729
2015-07-08,11.3789
2015-07-09,11.3803
2015-07-10,11.3826
2015-07-13,11.3901
2015-07-14,11.3917
2015-07-15,11.3947
2015-07-16,11.3959
2015-07-17,11.3986
2015-07-20,11.4056
2015-07-21,11.4085
2015-07-22,11.4119
2015-07-23,11.4141
2015-07-24,11.4176
2015-07-27,11.4257
2015-07-28,11.4286
2015-07-29,11.4342
2015-07-30,11.436
2015-07-31,11.4402
2015-08-03,11.4476
2015-08-04,11.4476
2015-08-05,11.4492
2015-08-06,11.4534
2015-08-07,11.4551
2015-08-10,11.4641
2015-08-11,11.4671
2015-08-12,11.4725
2015-08-13,11.4785
2015-08-14,11.482
2015-08-17,11.4872
2015-08-19,11.4927
2015-08-20,11.495
2015-08-21,11.4954
2015-08-24,11.4953
2015-08-25,11.4967
2015-08-26,11.5001
2015-08-27,11.5039
2015-08-28,11.5071
2015-08-31,11.5153
2015-09-01,11.5195
2015-09-02,11.5206
2015-09-03,11.5157
2015-09-04,11.5156
2015-09-07,11.521
2015-09-08,11.523
2015-09-09,11.5284
2015-09-10,11.5218
2015-09-11,11.5247
2015-09-14,11.5319
2015-09-15,11.5348
2015-09-16,11.5361
2015-09-18,11.5442
2015-09-21,11.5532
2015-09-22,11.5575
2015-09-23,11.5593
2015-09-24,11.5636
2015-09-28,11.5783
2015-09-29,11.6053
2015-09-30,11.6167
2015-10-01,11.6178
2015-10-05,11.6322
2015-10-06,11.6363
2015-10-07,11.6408
2015-10-08,11.6446
2015-10-09,11.6458
2015-10-12,11.6515
2015-10-13,11.6552
2015-10-14,11.6595
2015-10-15,11.6618
2015-10-16,11.6664
2015-10-19,11.6749
2015-10-20,11.6788
2015-10-21,11.6814
2015-10-23,11.6866
2015-10-26,11.6928
2015-10-27,11.6965
2015-10-28,11.6995
2015-10-29,11.7006
2015-10-30,11.7005
2015-11-02,11.7074
2015-11-03,11.7095
2015-11-04,11.7103
2015-11-05,11.7104
2015-11-06,11.7131
2015-11-09,11.718
2015-11-10,11.7205
2015-11-13,11.7302
2015-11-16,11.7392
2015-11-17,11.7414
2015-11-18,11.7439
2015-11-19,11.7464
2015-11-20,11.7479
2015-11-23,11.755
2015-11-24,11.7563
2015-11-26,11.7608
2015-11-27,11.762
2015-11-30,11.7671
2015-12-01,11.7698
2015-12-02,11.773
2015-12-03,11.7765
2015-12-04,11.7771
2015-12-07,11.7819
2015-12-08,11.7792
2015-12-09,11.7787
2015-12-10,11.7777
2015-12-11,11.7741
2015-12-14,11.7738
2015-12-15,11.7735
2015-12-16,11.7775
2015-12-17,11.7798
2015-12-18,11.7835
2015-12-21,11.7902
2015-12-22,11.7943
2015-12-23,11.7941
2015-12-28,11.8063
2015-12-29,11.8091
2015-12-30,11.8143
2015-12-31,11.8194
2016-01-01,11.8243
2016-01-04,11.8335
2016-01-05,11.837
2016-01-06,11.842
2016-01-07,11.8454
2016-01-08,11.8472
2016-01-11,11.855
2016-01-12,11.8527
2016-01-13,11.8544
2016-01-14,11.8552
2016-01-15,11.8526
2016-01-18,11.8594
2016-01-19,11.8627
2016-01-20,11.8634
2016-01-21,11.8676
2016-01-22,11.8709
2016-01-25,11.8781
2016-01-27,11.8828
2016-01-28,11.8828
2016-01-29,11.8838
2016-02-01,11.8895
2016-02-02,11.8893
2016-02-03,11.8865
2016-02-04,11.886
2016-02-05,11.8888
2016-02-08,11.8966
2016-02-09,11.8985
2016-02-10,11.9017
2016-02-11,11.9058
2016-02-12,11.9061
2016-02-15,11.9157
2016-02-16,11.9181
2016-02-17,11.9188
2016-02-18,11.9188
2016-02-22,11.9276
2016-02-23,11.923
2016-02-24,11.9214
2016-02-25,11.9214
2016-02-26,11.9229
2016-02-29,11.9434
2016-03-01,11.9506
2016-03-02,11.9565
2016-03-03,11.9625
2016-03-04,11.9641
2016-03-08,11.9741
2016-03-09,11.9753
2016-03-10,11.9773
2016-03-11,11.9795
2016-03-14,11.9934
2016-03-15,11.9986
2016-03-16,12.0029
2016-03-17,12.009
2016-03-18,12.0122
2016-03-21,12.0236
2016-03-22,12.0246
2016-03-23,12.0224
2016-03-28,12.0314
2016-03-29,12.0339
2016-03-30,12.0412
2016-03-31,12.0648
2016-04-04,12.0892
2016-04-05,12.0992
2016-04-06,12.0981
2016-04-07,12.1043
2016-04-11,12.1144
2016-04-12,12.1186
2016-04-13,12.1249
2016-04-18,12.1375
2016-04-20,12.1422
2016-04-21,12.1432
2016-04-22,12.1456
2016-04-25,12.1502
2016-04-26,12.1521
2016-04-27,12.1536
2016-04-28,12.1537
2016-04-29,12.1555
2016-05-02,12.1609
2016-05-03,12.1635
2016-05-04,12.167
2016-05-05,12.1692
2016-05-06,12.1712
2016-05-09,12.1787
2016-05-10,12.182
2016-05-11,12.1841
2016-05-12,12.1872
2016-05-13,12.1888
2016-05-16,12.1965
2016-05-17,12.1994
2016-05-18,12.2026
2016-05-19,12.2052
2016-05-20,12.2064
2016-05-23,12.2133
2016-05-24,12.2147
2016-05-25,12.2174
2016-05-26,12.2196
2016-05-27,12.2222
2016-05-30,12.2296
2016-05-31,12.2318
2016-06-01,12.2346
2016-06-02,12.2373
2016-06-03,12.2396
2016-06-06,12.2479
2016-06-07,12.2506
2016-06-08,12.2535
2016-06-09,12.2572
2016-06-10,12.2598
2016-06-13,12.2671
2016-06-14,12.2689
2016-06-15,12.2719
2016-06-16,12.2748
2016-06-17,12.2771
2016-06-20,12.2844
2016-06-21,12.2877
2016-06-22,12.2909
2016-06-23,12.294
2016-06-24,12.2964
2016-06-27,12.3038
2016-06-28,12.3058
2016-06-29,12.3077
2016-06-30,12.3113
2016-07-01,12.3145
2016-07-04,12.3238
2016-07-05,12.3292
2016-07-07,12.3363
2016-07-08,12.3385
2016-07-11,12.3479
2016-07-12,12.3526
2016-07-13,12.3581
2016-07-14,12.3617
2016-07-15,12.3646
2016-07-18,12.3732
2016-07-19,12.3773
2016-07-20,12.3804
2016-07-21,12.3822
2016-07-22,12.3848
2016-07-25,12.3915
2016-07-26,12.3966
2016-07-27,12.3988
2016-07-28,12.4017
2016-07-29,12.4039
2016-08-01,12.4108
2016-08-02,12.4132
2016-08-03,12.4151
2016-08-04,12.4179
2016-08-05,12.4203
2016-08-08,12.4266
2016-08-09,12.4294
2016-08-10,12.4321
2016-08-11,12.4369
2016-08-12,12.4404
2016-08-16,12.4495
2016-08-18,12.4537
2016-08-19,12.457
2016-08-22,12.4639
2016-08-23,12.4652
2016-08-24,12.467
2016-08-25,12.4689
2016-08-26,12.4713
2016-08-29,12.4786
2016-08-30,12.4805
2016-08-31,12.4832
2016-09-01,12.4861
2016-09-02,12.489
2016-09-06,12.4981
2016-09-07,12.5013
2016-09-08,12.5043
2016-09-09,12.5066
2016-09-12,12.513
2016-09-14,12.5177
2016-09-15,12.5199
2016-09-16,12.5223
2016-09-19,12.5294
2016-09-20,12.5328
2016-09-21,12.5347
2016-09-22,12.5371
2016-09-23,12.54
2016-09-26,12.549
2016-09-27,12.5527
2016-09-28,12.5555
2016-09-29,12.5572
2016-09-30,12.5623
2016-10-03,12.5711
2016-10-04,12.5746
2016-10-05,12.5804
2016-10-06,12.5856
2016-10-07,12.5879
2016-10-10,12.5938
2016-10-13,12.5993
2016-10-14,12.6013
2016-10-17,12.6066
2016-10-18,12.6083
2016-10-19,12.6086
2016-10-20,12.6107
2016-10-21,12.6133
2016-10-24,12.6198
2016-10-25,12.6212
2016-10-26,12.6226
2016-10-27,12.6247
2016-10-28,12.6266
2016-11-01,12.6355
2016-11-02,12.6376
2016-11-03,12.6398
2016-11-04,12.642
2016-11-07,12.6485
2016-11-08,12.6509
2016-11-09,12.6571
2016-11-10,12.6607
2016-11-11,12.6639
2016-11-15,12.6776
2016-11-16,12.6827
2016-11-17,12.6854
2016-11-18,12.6891
2016-11-21,12.6974
2016-11-22,12.7012
2016-11-23,12.7047
2016-11-24,12.7096
2016-11-25,12.7115
2016-11-28,12.7137
2016-11-29,12.7158
2016-11-30,12.7184
2016-12-01,12.7204
2016-12-02,12.7214
2016-12-05,12.7278
2016-12-06,12.7307
2016-12-07,12.7266
2016-12-08,12.7276
2016-12-09,12.7307
2016-12-13,12.74
2016-12-14,12.7426
2016-12-15,12.7446
2016-12-16,12.7452
2016-12-19,12.7518
2016-12-20,12.754
2016-12-21,12.7561
2016-12-22,12.7583
2016-12-23,12.7605
2016-12-26,12.7667
2016-12-27,12.7686
2016-12-28,12.7707
