date,nav
2016-11-28,13.2671
2016-11-29,13.2618
2016-11-30,13.2726
2016-12-01,13.2775
2016-12-02,13.2787
2016-12-05,13.2874
2016-12-06,13.291
2016-12-07,13.2521
2016-12-08,13.2414
2016-12-09,13.2499
2016-12-13,13.2585
2016-12-14,13.2661
2016-12-15,13.2668
2016-12-16,13.2632
2016-12-19,13.2709
2016-12-20,13.2729
2016-12-21,13.277
2016-12-22,13.2795
2016-12-23,13.2797
2016-12-26,13.2827
2016-12-27,13.2797
2016-12-28,13.278
2016-12-29,13.2858
2016-12-30,13.2958
2017-01-02,13.3177
2017-01-03,13.324
2017-01-04,13.3333
2017-01-05,13.3381
2017-01-06,13.348
2017-01-09,13.3571
2017-01-10,13.3639
2017-01-11,13.3698
2017-01-12,13.3767
2017-01-13,13.3789
2017-01-16,13.3812
2017-01-17,13.3848
2017-01-18,13.3876
2017-01-19,13.3883
2017-01-20,13.3898
2017-01-23,13.3959
2017-01-24,13.3982
2017-01-25,13.3991
2017-01-27,13.4059
2017-01-30,13.4148
2017-01-31,13.4184
2017-02-01,13.4236
2017-02-02,13.4261
2017-02-03,13.4306
2017-02-06,13.4385
2017-02-07,13.4426
2017-02-08,13.4036
2017-02-09,13.3969
2017-02-10,13.4132
2017-02-13,13.4257
2017-02-14,13.4285
2017-02-15,13.4374
2017-02-16,13.4399
2017-02-17,13.4399
2017-02-20,13.4545
2017-02-22,13.4566
2017-02-23,13.4597
2017-02-27,13.4718
2017-02-28,13.4757
2017-03-01,13.475
2017-03-02,13.4739
2017-03-03,13.4768
2017-03-06,13.4797
2017-03-07,13.4768
2017-03-08,13.4773
2017-03-09,13.4659
2017-03-10,13.4564
2017-03-14,13.4692
2017-03-15,13.4792
2017-03-16,13.4829
2017-03-17,13.4849
2017-03-20,13.491
2017-03-21,13.4934
2017-03-22,13.5043
2017-03-23,13.5092
2017-03-24,13.5158
2017-03-27,13.5254
2017-03-29,13.5265
2017-03-30,13.5323
2017-03-31,13.5414
2017-04-03,13.5565
2017-04-05,13.5603
2017-04-06,13.5525
2017-04-07,13.5502
2017-04-10,13.5607
2017-04-11,13.5673
2017-04-12,13.5703
2017-04-13,13.5783
2017-04-17,13.5882
2017-04-18,13.5896
2017-04-19,13.5942
2017-04-20,13.6012
2017-04-21,13.5972
2017-04-24,13.6042
