date,nav
2016-03-08,11.9518
2016-03-09,11.9547
2016-03-10,11.9575
2016-03-11,11.9605
2016-03-14,11.9693
2016-03-15,11.9723
2016-03-16,11.9753
2016-03-17,11.9782
2016-03-18,11.9812
2016-03-21,11.9901
2016-03-22,11.993
2016-03-23,11.996
2016-03-28,12.0108
2016-03-29,12.0138
2016-03-30,12.0168
2016-03-31,12.0199
2016-04-04,12.0332
2016-04-05,12.0361
2016-04-06,12.039
2016-04-07,12.0419
2016-04-11,12.0526
2016-04-12,12.0555
2016-04-13,12.0587
2016-04-18,12.0729
2016-04-20,12.0785
2016-04-21,12.0814
2016-04-22,12.0837
2016-04-25,12.0922
2016-04-26,12.0951
2016-04-27,12.0979
2016-04-28,12.1005
2016-04-29,12.1031
2016-05-02,12.111
2016-05-03,12.1133
2016-05-04,12.1156
2016-05-05,12.118
2016-05-06,12.1204
2016-05-09,12.1272
2016-05-10,12.129
2016-05-11,12.1312
2016-05-12,12.1336
2016-05-13,12.1359
2016-05-16,12.1424
2016-05-17,12.1446
2016-05-18,12.1469
2016-05-19,12.1495
2016-05-20,12.1512
2016-05-23,12.156
2016-05-24,12.159
2016-05-25,12.1608
2016-05-26,12.1625
2016-05-27,12.1641
2016-05-30,12.1706
2016-05-31,12.1719
2016-06-01,12.1741
2016-06-02,12.1758
2016-06-03,12.1765
2016-06-06,12.1832
2016-06-07,12.1844
2016-06-08,12.1866
2016-06-09,12.1901
2016-06-10,12.1942
2016-06-13,12.2004
2016-06-14,12.2019
2016-06-15,12.2045
2016-06-16,12.2077
2016-06-17,12.2094
2016-06-20,12.2149
2016-06-21,12.2194
2016-06-22,12.2225
2016-06-23,12.2248
2016-06-24,12.227
2016-06-27,12.2331
2016-06-28,12.2349
2016-06-29,12.2379
2016-06-30,12.2411
2016-07-01,12.2427
2016-07-04,12.2512
2016-07-05,12.2565
2016-07-07,12.2627
2016-07-08,12.2671
2016-07-11,12.277
2016-07-12,12.2815
2016-07-13,12.287
2016-07-14,12.2922
2016-07-15,12.296
2016-07-18,12.3064
2016-07-19,12.3104
2016-07-20,12.3122
2016-07-21,12.3142
2016-07-22,12.3162
2016-07-25,12.3222
2016-07-26,12.3286
2016-07-27,12.33
2016-07-28,12.3322
2016-07-29,12.3341
2016-08-01,12.34
2016-08-02,12.3433
2016-08-03,12.345
2016-08-04,12.3482
2016-08-05,12.35
2016-08-08,12.3553
2016-08-09,12.358
2016-08-10,12.3597
2016-08-11,12.3668
2016-08-12,12.3694
2016-08-16,12.3767
2016-08-18,12.3801
2016-08-19,12.3844
2016-08-22,12.3906
2016-08-23,12.3901
2016-08-24,12.3905
2016-08-25,12.3928
2016-08-26,12.3947
2016-08-29,12.401
2016-08-30,12.4026
2016-08-31,12.404
2016-09-01,12.4061
2016-09-02,12.4092
2016-09-06,12.4167
2016-09-07,12.4202
2016-09-08,12.4233
2016-09-09,12.4252
2016-09-12,12.4309
2016-09-14,12.4359
2016-09-15,12.4389
2016-09-16,12.4407
2016-09-19,12.4467
2016-09-20,12.4506
2016-09-21,12.4517
2016-09-22,12.4538
2016-09-23,12.4563
2016-09-26,12.4636
2016-09-27,12.4683
2016-09-28,12.4734
2016-09-29,12.4734
2016-09-30,12.4832
2016-10-03,12.4932
2016-10-04,12.4964
2016-10-05,12.505
2016-10-06,12.5109
2016-10-07,12.5125
2016-10-10,12.5171
2016-10-13,12.5222
2016-10-14,12.5235
2016-10-17,12.5269
2016-10-18,12.5284
2016-10-19,12.5269
2016-10-20,12.5296
2016-10-21,12.5317
2016-10-24,12.537
2016-10-25,12.5376
2016-10-26,12.5386
2016-10-27,12.5401
2016-10-28,12.5421
2016-11-01,12.5497
2016-11-02,12.5508
2016-11-03,12.5516
2016-11-04,12.5535
2016-11-07,12.5592
2016-11-08,12.5614
2016-11-09,12.5681
2016-11-10,12.572
2016-11-11,12.5772
2016-11-15,12.5935
2016-11-16,12.6011
2016-11-17,12.6056
2016-11-18,12.6099
2016-11-21,12.6184
2016-11-22,12.6234
2016-11-23,12.627
2016-11-24,12.6338
2016-11-25,12.6354
2016-11-28,12.6342
2016-11-29,12.6355
2016-11-30,12.6386
2016-12-01,12.6405
2016-12-02,12.6409
2016-12-05,12.6462
2016-12-06,12.6483
2016-12-07,12.639
2016-12-08,12.6382
2016-12-09,12.6427
2016-12-13,12.6516
2016-12-14,12.6539
2016-12-15,12.6565
