date,nav
2019-03-19,10.0248
2019-03-20,10.0221
2019-03-21,10.0241
2019-03-22,10.0225
2019-03-24,10.0267
2019-03-25,10.0278
2019-03-26,10.0285
2019-03-27,10.0338
2019-03-28,10.0365
2019-03-29,10.0575
2019-03-30,10.0595
2019-03-31,10.0615
2019-04-01,10.0635
2019-04-02,10.0799
2019-04-03,10.0823
2019-04-04,10.0812
2019-04-05,10.0832
2019-04-07,10.0872
2019-04-08,10.0862
2019-04-09,10.0859
2019-04-10,10.0862
2019-04-11,10.0855
2019-04-12,10.086
2019-04-14,10.0901
2019-04-15,10.088
2019-04-16,10.09
2019-04-17,10.0921
2019-04-18,10.0937
2019-04-19,10.0957
2019-04-21,10.0998
2019-04-22,10.1011
2019-04-23,10.0991
2019-04-24,10.0946
2019-04-25,10.0953
2019-04-26,10.096
2019-04-28,10.1002
2019-04-29,10.1023
2019-04-30,10.1015
2019-05-01,10.1036
2019-05-02,10.105
2019-05-03,10.1048
2019-05-05,10.1091
2019-05-06,10.1138
2019-05-07,10.1194
2019-05-08,10.1241
2019-05-09,10.1272
2019-05-10,10.1312
2019-05-12,10.1354
2019-05-13,10.1375
2019-05-14,10.1421
2019-05-15,10.1443
2019-05-16,10.1493
2019-05-17,10.1571
2019-05-19,10.1612
2019-05-20,10.1665
2019-05-21,10.1687
2019-05-22,10.1711
2019-05-23,10.1791
2019-05-24,10.1819
2019-05-26,10.186
2019-05-27,10.1902
2019-05-28,10.1921
2019-05-29,10.194
2019-05-30,10.2001
2019-05-31,10.2045
2019-06-01,10.2065
2019-06-02,10.2085
2019-06-03,10.2188
2019-06-04,10.2208
2019-06-05,10.2228
2019-06-06,10.2262
2019-06-07,10.2194
2019-06-09,10.2234
2019-06-10,10.224
2019-06-11,10.2246
2019-06-12,10.2256
2019-06-13,10.2262
2019-06-14,10.2286
2019-06-16,10.2321
2019-06-17,10.2357
2019-06-18,10.2385
2019-06-19,10.2416
2019-06-20,10.2438
2019-06-21,10.2445
2019-06-23,10.2485
2019-06-24,10.2496
2019-06-25,10.2503
2019-06-26,10.248
2019-06-27,10.2518
2019-06-28,10.2518
2019-06-30,10.2559
2019-07-01,10.2583
2019-07-02,10.2603
2019-07-03,10.2684
2019-07-04,10.2738
2019-07-05,10.2761
2019-07-07,10.2801
2019-07-08,10.2843
2019-07-09,10.2873
2019-07-10,10.2955
2019-07-11,10.2984
2019-07-12,10.3019
2019-07-14,10.3058
2019-07-15,10.3098
2019-07-16,10.319
2019-07-17,10.3271
2019-07-18,10.3302
2019-07-19,10.3303
2019-07-21,10.3341
2019-07-22,10.3337
2019-07-23,10.3331
2019-07-24,10.3342
2019-07-25,10.3361
2019-07-26,10.3379
2019-07-28,10.3419
2019-07-29,10.3433
2019-07-30,10.3473
2019-07-31,10.3532
2019-08-01,10.3632
2019-08-02,10.3665
2019-08-04,10.3703
2019-08-05,10.374
2019-08-06,10.3746
2019-08-07,10.3815
2019-08-08,10.3905
2019-08-09,10.3936
2019-08-12,10.3991
2019-08-13,10.3991
2019-08-14,10.3989
2019-08-15,10.4008
2019-08-16,10.4038
2019-08-18,10.4075
2019-08-19,10.4106
2019-08-20,10.4128
2019-08-21,10.4155
2019-08-22,10.4168
2019-08-23,10.4198
2019-08-25,10.4235
2019-08-26,10.4279
2019-08-27,10.4321
2019-08-28,10.4349
2019-08-29,10.4377
2019-08-30,10.4401
2019-09-01,10.4437
2019-09-02,10.4455
2019-09-03,10.4493
2019-09-04,10.4531
2019-09-05,10.4555
2019-09-06,10.4569
2019-09-08,10.4605
2019-09-09,10.4634
2019-09-10,10.4652
2019-09-11,10.4664
2019-09-12,10.4687
2019-09-13,10.4707
2019-09-15,10.4743
2019-09-16,10.4775
2019-09-17,10.4768
2019-09-18,10.4788
2019-09-19,10.4814
2019-09-20,10.475
2019-09-22,10.4787
2019-09-23,10.4808
2019-09-24,10.481
2019-09-25,10.4836
2019-09-26,10.4881
2019-09-27,10.4898
2019-09-29,10.4935
2019-09-30,10.4995
2019-10-02,10.5065
2019-10-03,10.5094
2019-10-04,10.5128
2019-10-06,10.5163
2019-10-08,10.5214
2019-10-09,10.5239
2019-10-10,10.5266
2019-10-11,10.5304
2019-10-13,10.5339
2019-10-14,10.5362
2019-10-15,10.5384
2019-10-16,10.5415
2019-10-17,10.5433
2019-10-18,10.5454
2019-10-21,10.5506
2019-10-22,10.5529
2019-10-23,10.5546
2019-10-24,10.5583
2019-10-25,10.5601
2019-10-27,10.5635
2019-10-28,10.5652
2019-10-29,10.5676
2019-10-30,10.5741
2019-10-31,10.5769
2019-11-01,10.5786
2019-11-03,10.5819
2019-11-04,10.5839
2019-11-05,10.5854
2019-11-06,10.5836
2019-11-07,10.5848
2019-11-08,10.5865
2019-11-10,10.59
2019-11-12,10.5951
2019-11-13,10.598
2019-11-14,10.5998
2019-11-15,10.6027
2019-11-17,10.606
2019-11-18,10.608
2019-11-19,10.6096
2019-11-20,10.6117
2019-11-21,10.6136
2019-11-22,10.6149
2019-11-23,10.6165
2019-11-24,10.6182
2019-11-25,10.6201
2019-11-26,10.6219
2019-11-27,10.6246
2019-11-28,10.6269
2019-11-29,10.6303
2019-11-30,10.632
2019-12-01,10.6336
2019-12-02,10.6355
2019-12-03,10.6377
2019-12-04,10.6394
2019-12-05,10.6382
2019-12-06,10.6403
2019-12-08,10.6436
2019-12-09,10.6461
2019-12-10,10.6483
2019-12-11,10.6502
2019-12-12,10.6521
2019-12-13,10.6532
2019-12-15,10.6565
2019-12-16,10.6582
2019-12-17,10.6598
2019-12-18,10.6613
2019-12-19,10.6632
2019-12-20,10.6644
2019-12-22,10.6677
2019-12-23,10.6694
2019-12-25,10.6726
2019-12-26,10.6742
2019-12-27,10.6766
2019-12-29,10.6799
2019-12-30,10.6815
2019-12-31,10.6831
2020-01-01,10.6851
2020-01-02,10.688
2020-01-03,10.6896
2020-01-05,10.6929
2020-01-06,10.6943
2020-01-07,10.696
2020-01-08,10.6973
2020-01-09,10.6989
2020-01-10,10.6996
2020-01-12,10.703
2020-01-13,10.7041
2020-01-14,10.7055
2020-01-15,10.7069
2020-01-16,10.7087
2020-01-17,10.7104
2020-01-19,10.7138
2020-01-20,10.7155
2020-01-21,10.7173
2020-01-22,10.7188
2020-01-23,10.7206
2020-01-24,10.7223
2020-01-25,10.724
2020-01-26,10.7256
2020-01-27,10.7273
2020-01-28,10.729
2020-01-29,10.7307
2020-01-30,10.7326
2020-01-31,10.7343
2020-02-02,10.7377
2020-02-03,10.7393
2020-02-04,10.741
2020-02-05,10.7428
2020-02-06,10.7444
2020-02-07,10.7461
2020-02-09,10.7495
2020-02-10,10.7512
2020-02-11,10.7529
2020-02-12,10.7546
2020-02-13,10.7563
2020-02-14,10.7579
2020-02-16,10.7613
2020-02-17,10.763
2020-02-18,10.7647
2020-02-19,10.7664
2020-02-21,10.7698
2020-02-23,10.7731
2020-02-24,10.7748
2020-02-25,10.7765
2020-02-26,10.7782
2020-02-27,10.7798
2020-02-28,10.7814
2020-02-29,10.7831
2020-03-01,10.7847
2020-03-02,10.7864
2020-03-03,10.788
2020-03-04,10.7896
2020-03-05,10.7909
