date,nav
2018-08-29,10.0023
2018-08-30,10.0013
2018-08-31,10.0014
2018-09-03,10.0051
2018-09-04,9.9966
2018-09-05,9.9873
2018-09-06,9.9821
2018-09-07,9.9903
2018-09-10,9.9662
2018-09-11,9.9661
2018-09-12,9.9602
2018-09-14,9.9686
2018-09-17,9.9615
2018-09-18,9.9669
2018-09-19,9.9683
2018-09-21,9.9636
2018-09-24,9.9398
2018-09-25,9.9234
2018-09-26,9.9312
2018-09-27,9.9508
2018-09-28,9.9701
2018-10-01,9.9842
2018-10-03,9.9779
2018-10-04,9.9623
2018-10-05,9.9834
2018-10-08,9.9908
2018-10-09,9.9842
2018-10-10,9.9922
2018-10-11,10.0034
2018-10-12,10.0091
2018-10-15,10.0242
2018-10-16,10.0331
2018-10-17,10.033
2018-10-19,10.0373
2018-10-22,10.0388
2018-10-23,10.0415
2018-10-24,10.0401
2018-10-25,10.0402
2018-10-26,10.0405
2018-10-29,10.0474
2018-10-30,10.0499
2018-10-31,10.0484
2018-11-01,10.0548
2018-11-02,10.0672
2018-11-05,10.0746
2018-11-06,10.0772
2018-11-09,10.0852
2018-11-12,10.0882
2018-11-13,10.0992
2018-11-14,10.1089
2018-11-15,10.1171
2018-11-16,10.1184
2018-11-19,10.125
2018-11-20,10.1311
2018-11-22,10.1427
2018-11-26,10.1536
2018-11-27,10.1558
2018-11-28,10.1652
2018-11-29,10.1791
2018-11-30,10.1873
2018-12-03,10.1908
2018-12-04,10.1954
2018-12-05,10.2128
2018-12-06,10.2209
2018-12-07,10.2177
2018-12-10,10.2006
2018-12-11,10.1973
2018-12-12,10.2116
2018-12-13,10.2063
2018-12-14,10.2076
2018-12-17,10.2143
2018-12-18,10.2173
2018-12-19,10.244
2018-12-20,10.2477
2018-12-21,10.2523
2018-12-24,10.2569
2018-12-26,10.2717
2018-12-27,10.2799
2018-12-28,10.2777
2018-12-31,10.2865
2019-01-01,10.2857
2019-01-02,10.2875
2019-01-03,10.2865
2019-01-04,10.2908
2019-01-07,10.2967
2019-01-08,10.3047
2019-01-09,10.3102
2019-01-10,10.3125
2019-01-11,10.3243
2019-01-14,10.3367
2019-01-15,10.3383
2019-01-16,10.3325
2019-01-17,10.3358
2019-01-18,10.3374
2019-01-21,10.3374
2019-01-22,10.3441
2019-01-23,10.3485
2019-01-24,10.3503
2019-01-25,10.3535
2019-01-28,10.3596
2019-01-29,10.36
2019-01-30,10.3585
2019-01-31,10.3589
2019-02-01,10.3416
2019-02-04,10.342
2019-02-05,10.3424
2019-02-06,10.3457
2019-02-07,10.3754
2019-02-08,10.3886
2019-02-11,10.3962
2019-02-12,10.397
2019-02-13,10.4332
2019-02-14,10.4345
2019-02-15,10.4298
2019-02-18,10.4175
2019-02-20,10.4291
2019-02-21,10.4294
2019-02-22,10.433
2019-02-25,10.4398
2019-02-26,10.436
2019-02-27,10.4265
2019-02-28,10.43
2019-03-01,10.4369
2019-03-05,10.4546
2019-03-06,10.4602
2019-03-07,10.4689
2019-03-08,10.4744
2019-03-11,10.4911
2019-03-12,10.5026
2019-03-13,10.5016
2019-03-14,10.5299
2019-03-15,10.5302
2019-03-18,10.5431
2019-03-19,10.5395
2019-03-20,10.5428
2019-03-22,10.5482
2019-03-25,10.5536
2019-03-26,10.5557
2019-03-27,10.5622
2019-03-28,10.5731
2019-03-29,10.5936
2019-04-02,10.6332
2019-04-03,10.6313
2019-04-04,10.6197
2019-04-05,10.6112
2019-04-08,10.6051
2019-04-09,10.6062
2019-04-10,10.6091
2019-04-11,10.6062
2019-04-12,10.6058
2019-04-15,10.6078
2019-04-16,10.6045
2019-04-18,10.607
2019-04-22,10.6026
2019-04-23,10.601
2019-04-24,10.6046
2019-04-25,10.5942
2019-04-26,10.5959
2019-04-30,10.6047
2019-05-02,10.6049
2019-05-03,10.5942
2019-05-06,10.6017
2019-05-07,10.6045
2019-05-08,10.6095
2019-05-09,10.6121
2019-05-10,10.6133
2019-05-13,10.6222
2019-05-14,10.6351
2019-05-15,10.6393
2019-05-16,10.6409
2019-05-17,10.6481
2019-05-20,10.6669
2019-05-21,10.6677
2019-05-22,10.6743
2019-05-23,10.6886
2019-05-24,10.6956
2019-05-27,10.7244
2019-05-28,10.729
2019-05-29,10.7308
2019-05-30,10.7275
2019-05-31,10.741
2019-06-03,10.7532
2019-06-04,10.7499
2019-06-06,10.7647
2019-06-07,10.7528
2019-06-10,10.7488
2019-06-11,10.7481
2019-06-12,10.753
2019-06-13,10.7595
2019-06-14,10.7684
2019-06-17,10.7725
2019-06-18,10.7835
