date,nav
2018-07-03,10.8256
2018-07-04,10.837
2018-07-05,10.8403
2018-07-06,10.8441
2018-07-09,10.847
2018-07-10,10.854
2018-07-11,10.8569
2018-07-12,10.8667
2018-07-13,10.8739
2018-07-16,10.8794
2018-07-17,10.8844
2018-07-18,10.8878
2018-07-19,10.8882
2018-07-20,10.8907
2018-07-23,10.897
2018-07-24,10.8981
2018-07-25,10.9004
2018-07-26,10.904
2018-07-27,10.9105
2018-07-30,10.9166
2018-07-31,10.9205
2018-08-01,10.9266
2018-08-02,10.9295
2018-08-03,10.931
2018-08-06,10.9372
2018-08-07,10.9388
2018-08-08,10.9423
2018-08-09,10.9499
2018-08-10,10.9503
2018-08-13,10.9551
2018-08-14,10.9623
2018-08-16,10.9672
2018-08-20,10.9768
2018-08-21,10.9822
2018-08-23,10.9845
2018-08-24,10.98
2018-08-27,10.9894
2018-08-28,10.9912
2018-08-29,10.9921
2018-08-30,10.9918
2018-08-31,10.9897
2018-09-03,10.9944
2018-09-04,10.9893
2018-09-05,10.9851
2018-09-06,10.9881
2018-09-07,10.9907
2018-09-10,10.9807
2018-09-11,10.9787
2018-09-12,10.9714
2018-09-14,10.9778
2018-09-17,10.9775
2018-09-18,10.9846
2018-09-19,10.9881
2018-09-21,10.9894
2018-09-24,10.9859
2018-09-25,10.9733
2018-09-26,10.978
2018-09-27,10.9944
2018-09-28,11.0026
2018-10-01,11.0136
2018-10-03,11.0108
2018-10-04,11.0077
2018-10-05,11.0212
2018-10-08,11.0347
2018-10-09,11.036
2018-10-10,11.0432
2018-10-11,11.0503
2018-10-12,11.0552
2018-10-15,11.0666
2018-10-16,11.0741
2018-10-17,11.0768
2018-10-19,11.0817
2018-10-22,11.0859
2018-10-23,11.0883
2018-10-24,11.091
2018-10-25,11.0924
2018-10-26,11.0936
2018-10-29,11.1002
2018-10-30,11.1014
2018-10-31,11.1038
2018-11-01,11.1077
2018-11-02,11.1162
2018-11-05,11.1217
2018-11-06,11.1234
2018-11-09,11.1324
2018-11-12,11.1409
2018-11-13,11.1489
2018-11-14,11.1599
2018-11-15,11.1646
2018-11-16,11.1655
2018-11-19,11.1741
2018-11-20,11.1788
2018-11-22,11.1883
2018-11-26,11.1992
2018-11-27,11.2009
2018-11-28,11.2096
2018-11-29,11.2192
2018-11-30,11.2224
2018-12-03,11.2287
2018-12-04,11.2304
2018-12-05,11.2457
2018-12-06,11.252
2018-12-07,11.2515
2018-12-10,11.2463
2018-12-11,11.2487
2018-12-12,11.2614
2018-12-13,11.2555
2018-12-14,11.2585
2018-12-17,11.2681
2018-12-18,11.2719
2018-12-19,11.2893
2018-12-20,11.293
2018-12-21,11.2957
2018-12-24,11.3026
2018-12-26,11.3109
2018-12-27,11.3195
2018-12-28,11.3204
2018-12-31,11.3265
2019-01-01,11.3278
2019-01-02,11.3338
2019-01-03,11.3347
2019-01-04,11.3394
2019-01-07,11.3479
2019-01-08,11.351
2019-01-09,11.3533
2019-01-10,11.3572
2019-01-11,11.3615
2019-01-14,11.3731
2019-01-15,11.3755
2019-01-16,11.3748
2019-01-17,11.3784
2019-01-18,11.3782
2019-01-21,11.3846
2019-01-22,11.3907
2019-01-23,11.3919
2019-01-24,11.3937
2019-01-25,11.3961
2019-01-28,11.4031
2019-01-29,11.4035
2019-01-30,11.4041
2019-01-31,11.4072
2019-02-01,11.4014
2019-02-04,11.4061
2019-02-05,11.4084
2019-02-06,11.4154
2019-02-07,11.4376
2019-02-08,11.4428
2019-02-11,11.4534
2019-02-12,11.4546
2019-02-13,11.4682
2019-02-14,11.4677
2019-02-15,11.4672
2019-02-18,11.4685
2019-02-20,11.4747
2019-02-21,11.4781
2019-02-22,11.4807
2019-02-25,11.4895
2019-02-26,11.4896
2019-02-27,11.4871
2019-02-28,11.4928
2019-03-01,11.4968
2019-03-05,11.5081
2019-03-06,11.5138
2019-03-07,11.5183
2019-03-08,11.5226
2019-03-11,11.5312
2019-03-12,11.5361
2019-03-13,11.5384
2019-03-14,11.5536
2019-03-15,11.5562
2019-03-18,11.5636
2019-03-19,11.5655
2019-03-20,11.5647
2019-03-22,11.5687
2019-03-25,11.5763
2019-03-26,11.5811
2019-03-27,11.5842
2019-03-28,11.5891
2019-03-29,11.5989
2019-04-02,11.6212
2019-04-03,11.6193
2019-04-04,11.6178
2019-04-05,11.6172
2019-04-08,11.619
2019-04-09,11.6198
2019-04-10,11.6242
2019-04-11,11.6255
2019-04-12,11.6253
2019-04-15,11.6308
2019-04-16,11.6326
2019-04-18,11.6361
2019-04-22,11.6408
2019-04-23,11.6382
2019-04-24,11.6386
2019-04-25,11.6377
2019-04-26,11.6395
2019-04-30,11.65
2019-05-02,11.6538
2019-05-03,11.653
2019-05-06,11.6614
2019-05-07,11.667
2019-05-08,11.6722
2019-05-09,11.6754
2019-05-10,11.68
2019-05-13,11.6872
2019-05-14,11.6947
2019-05-15,11.6971
2019-05-16,11.7022
2019-05-17,11.7045
2019-05-20,11.7207
2019-05-21,11.7232
2019-05-22,11.7269
2019-05-23,11.7343
2019-05-24,11.736
2019-05-27,11.7468
2019-05-28,11.7486
2019-05-29,11.7526
2019-05-30,11.7529
2019-05-31,11.7622
2019-06-03,11.7781
2019-06-04,11.779
2019-06-06,11.789
2019-06-07,11.7804
2019-06-10,11.7838
2019-06-11,11.7852
2019-06-12,11.7876
2019-06-13,11.7903
2019-06-14,11.7947
2019-06-17,11.8021
2019-06-18,11.8103
2019-06-19,11.8128
2019-06-20,11.8163
2019-06-21,11.8168
2019-06-24,11.8253
2019-06-25,11.8259
2019-06-26,11.8236
2019-06-27,11.826
2019-06-28,11.8315
2019-07-01,11.8387
2019-07-02,11.8421
2019-07-03,11.8472
2019-07-04,11.8521
2019-07-05,11.8598
2019-07-08,11.8704
2019-07-09,11.873
2019-07-10,11.8788
2019-07-11,11.8833
