date,nav
2008-10-22,10.0032
2008-10-23,10.0064
2008-10-24,10.0084
2008-10-27,10.0142
2008-10-29,9.9768
2008-10-31,9.9809
2008-11-03,9.9901
2008-11-04,9.9926
2008-11-05,9.9946
2008-11-06,9.996
2008-11-07,9.9972
2008-11-10,10.0012
2008-11-11,10.0029
2008-11-12,10.0045
2008-11-14,10.0078
2008-11-17,10.0126
2008-11-18,10.0143
2008-11-19,10.016
2008-11-20,10.0177
2008-11-21,10.0197
2008-11-24,10.0257
2008-11-25,9.9711
2008-11-26,9.9728
2008-11-27,9.9745
2008-11-28,9.9763
2008-12-01,9.9821
2008-12-02,9.9844
2008-12-03,9.9823
2008-12-04,9.9876
2008-12-05,9.9899
2008-12-08,9.9968
2008-12-10,9.9986
2008-12-11,10.0009
2008-12-12,10.0032
2008-12-15,10.0126
2008-12-16,10.0152
2008-12-17,10.0179
2008-12-18,10.0205
2008-12-19,10.0231
2008-12-22,10.0311
2008-12-23,10.0337
2008-12-24,10.0364
2008-12-26,10.0417
2008-12-29,10.0496
2008-12-30,10.0522
2008-12-31,10.0548
2009-01-01,10.0575
2009-01-02,10.0601
2009-01-05,10.068
2009-01-06,10.0706
2009-01-07,10.0732
2009-01-09,10.0785
2009-01-12,10.0864
2009-01-13,10.089
2009-01-14,10.0916
2009-01-15,10.0943
2009-01-16,10.0969
2009-01-19,10.1048
2009-01-20,10.1075
2009-01-21,10.1101
2009-01-22,10.1127
2009-01-23,10.1154
2009-01-27,10.1259
2009-01-28,10.1286
2009-01-29,10.1312
2009-01-30,10.1338
2009-02-02,10.1417
2009-02-03,10.1444
2009-02-04,10.147
2009-02-05,10.1497
2009-02-06,10.1524
2009-02-09,10.1605
2009-02-10,10.1632
2009-02-11,10.2122
2009-02-12,10.2147
2009-02-13,10.2172
2009-02-16,10.2247
2009-02-17,10.2271
2009-02-18,10.2296
2009-02-19,10.2321
2009-02-24,10.2447
2009-02-25,10.2472
2009-02-26,10.2497
2009-02-27,10.2522
2009-03-02,10.2597
2009-03-03,10.2622
2009-03-04,10.2647
2009-03-05,10.2672
2009-03-06,10.2697
2009-03-09,10.2773
2009-03-12,10.2848
2009-03-13,10.2873
2009-03-16,10.2948
2009-03-17,10.2974
2009-03-18,10.3544
2009-03-19,10.3567
2009-03-20,10.3589
2009-03-23,10.3657
2009-03-24,10.3679
2009-03-25,10.3702
2009-03-26,10.3724
2009-03-30,10.3813
2009-03-31,10.3835
2009-04-02,10.388
2009-04-06,10.397
2009-04-08,10.4014
2009-04-09,10.4037
2009-04-13,10.4127
2009-04-15,10.4172
2009-04-16,10.4194
2009-04-17,10.4217
2009-04-20,10.4285
2009-04-21,10.4307
2009-04-22,10.433
2009-04-23,10.4352
2009-04-24,10.4375
2009-04-27,10.4443
2009-04-28,10.4465
2009-04-29,10.4488
2009-05-04,10.46
2009-05-05,10.4623
2009-05-06,10.4645
2009-05-07,10.4823
2009-05-08,10.4845
2009-05-11,10.4909
2009-05-12,10.493
2009-05-13,10.4952
2009-05-14,10.4973
2009-05-15,10.4995
2009-05-18,10.5059
2009-05-19,10.5081
2009-05-20,10.5102
2009-05-21,10.5124
2009-05-22,10.5145
2009-05-25,10.5209
2009-05-26,10.5231
2009-05-27,10.5252
2009-05-28,10.5274
2009-05-29,10.5295
2009-06-01,10.536
2009-06-02,10.5381
2009-06-03,10.5403
2009-06-04,10.5424
2009-06-05,10.5446
2009-06-08,10.5505
2009-06-09,10.5522
2009-06-10,10.5538
2009-06-11,10.5556
2009-06-12,10.5573
2009-06-15,10.5625
2009-06-16,10.5642
2009-06-17,10.5659
2009-06-18,10.5676
2009-06-19,10.5693
2009-06-22,10.5745
2009-06-23,10.5762
2009-06-24,10.578
2009-06-25,10.5797
2009-06-26,10.5814
2009-06-29,10.5866
2009-06-30,10.5884
2009-07-02,10.5919
2009-07-03,10.5936
2009-07-06,10.5987
2009-07-07,10.6005
2009-07-08,10.6022
2009-07-09,10.6039
2009-07-10,10.6057
2009-07-13,10.6111
2009-07-14,10.6129
2009-07-15,10.6147
2009-07-16,10.6165
2009-07-17,10.6183
2009-07-20,10.6236
2009-07-21,10.6254
2009-07-22,10.6272
2009-07-23,10.629
2009-07-24,10.6308
2009-07-27,10.6362
2009-07-28,10.638
2009-07-29,10.6398
2009-07-30,10.6416
2009-07-31,10.6434
2009-08-03,10.6488
2009-08-04,10.6506
2009-08-05,10.6524
2009-08-06,10.6542
2009-08-07,10.656
2009-08-10,10.6614
2009-08-11,10.6631
2009-08-12,10.6648
2009-08-13,10.6665
2009-08-14,10.6682
2009-08-17,10.6731
2009-08-18,10.6749
2009-08-20,10.6783
2009-08-21,10.6801
2009-08-24,10.6853
2009-08-25,10.687
2009-08-26,10.6888
2009-08-27,10.6904
2009-08-28,10.692
2009-08-31,10.6969
2009-09-01,10.6986
2009-09-02,10.7004
2009-09-03,10.7021
2009-09-04,10.7037
2009-09-07,10.7088
2009-09-08,10.7105
2009-09-09,10.7123
2009-09-10,10.714
2009-09-11,10.7157
2009-09-14,10.7208
2009-09-15,10.7226
2009-09-16,10.7243
2009-09-17,10.726
2009-09-18,10.7278
2009-09-22,10.7348
2009-09-23,10.7364
2009-09-24,10.7379
2009-09-25,10.7396
2009-09-29,10.7463
2009-10-01,10.7494
2009-10-05,10.7502
2009-10-06,10.7514
2009-10-07,10.7529
2009-10-08,10.7543
2009-10-09,10.7557
2009-10-12,10.7605
2009-10-14,10.7643
2009-10-15,10.7662
2009-10-16,10.7682
2009-10-20,10.7759
2009-10-21,10.7778
2009-10-22,10.8301
2009-10-23,10.8315
2009-10-26,10.8358
2009-10-27,10.8373
2009-10-28,10.8393
2009-10-29,10.8471
2009-10-30,10.8489
2009-11-03,10.8563
2009-11-04,10.8581
2009-11-05,10.86
2009-11-06,10.8616
2009-11-09,10.9113
2009-11-10,10.9164
2009-11-11,10.9216
2009-11-12,10.9232
2009-11-13,10.934
2009-11-16,10.9494
2009-11-17,10.9511
2009-11-18,10.9715
2009-11-19,10.9857
2009-11-20,10.9897
2009-11-23,11.023
2009-11-24,11.0258
2009-11-25,11.0294
2009-11-26,11.0332
2009-11-27,11.0489
2009-11-30,11.0532
2009-12-01,11.089
2009-12-02,11.0901
2009-12-03,11.0917
2009-12-04,11.1241
2009-12-07,11.1347
2009-12-08,11.1359
2009-12-09,11.1372
2009-12-10,11.1385
2009-12-11,11.1572
2009-12-14,11.1613
2009-12-15,11.1605
2009-12-16,11.1619
2009-12-17,11.1633
2009-12-18,11.1648
2009-12-21,11.1739
2009-12-22,11.1753
2009-12-23,11.1776
2009-12-24,11.1796
2009-12-29,11.1935
2009-12-30,11.195
2009-12-31,11.1965
2010-01-01,11.1987
2010-01-04,11.2042
2010-01-05,11.2056
2010-01-06,11.2071
2010-01-07,11.2084
2010-01-08,11.2099
2010-01-11,11.2147
2010-01-12,11.2305
2010-01-13,11.2317
2010-01-14,11.2378
2010-01-15,11.2433
2010-01-18,11.2472
2010-01-19,11.2485
2010-01-20,11.2499
2010-01-21,11.2513
2010-01-22,11.2527
2010-01-25,11.2569
2010-01-27,11.2597
2010-01-28,11.2611
2010-01-29,11.2661
2010-02-01,11.2756
2010-02-02,11.2758
2010-02-03,11.2773
2010-02-04,11.2906
2010-02-05,11.296
2010-02-08,11.2999
2010-02-09,11.3014
2010-02-10,11.3027
2010-02-11,11.3168
2010-02-15,11.3221
2010-02-16,11.325
2010-02-17,11.3358
2010-02-18,11.3375
2010-02-19,11.3393
2010-02-22,11.3442
2010-02-23,11.3511
2010-02-24,11.3527
2010-02-25,11.3543
2010-02-26,11.3559
2010-03-02,11.3622
2010-03-03,11.3638
2010-03-04,11.3714
2010-03-05,11.3728
2010-03-08,11.3773
2010-03-09,11.3787
2010-03-10,11.3802
2010-03-11,11.3817
2010-03-12,11.3832
2010-03-15,11.3871
2010-03-17,11.39
2010-03-18,11.4091
2010-03-19,11.4504
2010-03-22,11.4549
2010-03-23,11.4567
2010-03-25,11.4601
2010-03-26,11.4619
2010-03-29,11.4671
2010-03-30,11.4751
2010-03-31,11.4772
2010-04-05,11.4858
2010-04-06,11.4871
2010-04-07,11.4933
2010-04-08,11.5032
2010-04-09,11.5419
2010-04-12,11.5472
2010-04-13,11.5741
2010-04-15,11.5967
2010-04-16,11.627
2010-04-19,11.6505
2010-04-20,11.6591
2010-04-21,11.6608
2010-04-22,11.6822
2010-04-23,11.6917
2010-04-26,11.7202
2010-04-27,11.7395
2010-04-28,11.7413
2010-04-29,11.7506
2010-04-30,11.7601
2010-05-03,11.7648
2010-05-04,11.7876
2010-05-05,11.7944
2010-05-06,11.7962
2010-05-07,11.8202
2010-05-10,11.8246
2010-05-11,11.8259
2010-05-12,11.8273
2010-05-13,11.8284
2010-05-14,11.8101
2010-05-17,11.8165
