date,nav
2019-03-29,10.0009
2019-04-02,10.0186
2019-04-03,10.0093
2019-04-04,10.002
2019-04-05,9.9933
2019-04-08,9.9888
2019-04-09,9.9853
2019-04-10,9.9802
2019-04-11,9.9848
2019-04-12,9.9934
2019-04-15,9.9982
2019-04-16,9.9967
2019-04-18,9.9981
2019-04-22,9.9984
2019-04-23,9.9732
2019-04-24,9.9791
2019-04-25,9.9808
2019-04-26,9.9777
2019-04-30,9.9911
2019-05-02,10.0017
2019-05-03,9.9985
2019-05-06,10.0005
2019-05-07,10.0065
2019-05-08,10.0112
2019-05-09,10.017
2019-05-10,10.0169
2019-05-13,10.027
2019-05-14,10.0409
2019-05-15,10.0349
2019-05-16,10.0446
2019-05-17,10.056
2019-05-20,10.0801
2019-05-21,10.0886
2019-05-22,10.0946
2019-05-23,10.1121
2019-05-24,10.1206
2019-05-27,10.1394
2019-05-28,10.1324
2019-05-29,10.1488
2019-05-30,10.1387
2019-05-31,10.1548
2019-06-03,10.1788
2019-06-04,10.1705
2019-06-06,10.1925
2019-06-07,10.1836
2019-06-10,10.1738
2019-06-11,10.1835
2019-06-12,10.1818
2019-06-13,10.1847
2019-06-14,10.1973
2019-06-17,10.2026
2019-06-18,10.2288
2019-06-19,10.2213
2019-06-20,10.238
2019-06-21,10.2382
2019-06-24,10.2392
2019-06-25,10.2382
2019-06-26,10.2324
2019-06-27,10.2344
2019-06-28,10.2431
2019-07-01,10.2552
2019-07-02,10.261
2019-07-03,10.2617
2019-07-04,10.2662
2019-07-05,10.2876
2019-07-08,10.3115
2019-07-09,10.316
2019-07-10,10.3244
2019-07-11,10.3371
2019-07-12,10.3364
2019-07-15,10.3515
2019-07-16,10.374
2019-07-17,10.3682
2019-07-18,10.3611
2019-07-19,10.3655
2019-07-22,10.3597
2019-07-23,10.3783
2019-07-24,10.3788
2019-07-25,10.3743
2019-07-26,10.38
2019-07-29,10.4003
2019-07-30,10.3876
2019-07-31,10.3959
2019-08-01,10.3986
2019-08-02,10.4289
2019-08-05,10.4358
2019-08-06,10.4466
2019-08-07,10.4548
2019-08-08,10.4542
2019-08-09,10.4649
2019-08-13,10.4711
2019-08-14,10.4679
2019-08-16,10.4821
2019-08-19,10.4814
2019-08-20,10.4913
