date,nav
2010-09-29,10.0074
2010-10-01,10.0116
2010-10-04,10.0156
2010-10-05,10.0172
2010-10-06,10.0151
2010-10-07,10.0168
2010-10-08,10.0166
2010-10-11,10.0228
2010-10-12,10.0179
2010-10-13,10.02
2010-10-14,10.0185
2010-10-15,10.0175
2010-10-18,10.0174
2010-10-19,10.0087
2010-10-20,10.0108
2010-10-21,10.0139
2010-10-22,10.0203
2010-10-25,10.026
2010-10-26,10.0273
2010-10-27,10.026
2010-10-28,10.0278
2010-10-29,10.0287
2010-11-01,10.034
2010-11-02,10.0383
2010-11-03,10.0409
2010-11-04,10.0431
2010-11-08,10.0518
2010-11-09,10.0474
2010-11-10,10.048
2010-11-11,10.0478
2010-11-12,10.048
2010-11-15,10.0523
2010-11-16,10.0527
2010-11-18,10.0547
2010-11-19,10.0559
2010-11-22,10.0581
2010-11-23,10.0593
2010-11-24,10.0595
2010-11-25,10.0582
2010-11-26,10.0516
2010-11-29,10.0542
2010-11-30,10.0568
2010-12-01,10.0591
2010-12-02,10.0603
2010-12-03,10.0606
2010-12-06,10.0605
2010-12-07,10.0553
2010-12-08,10.053
2010-12-09,10.0516
2010-12-10,10.0475
2010-12-13,10.0546
2010-12-14,10.0549
2010-12-15,10.0508
2010-12-16,10.0595
2010-12-20,10.0717
2010-12-21,10.0673
2010-12-22,10.0655
2010-12-23,10.0676
2010-12-24,10.0679
2010-12-27,10.0718
2010-12-28,10.0744
2010-12-29,10.0773
2010-12-30,10.0878
2010-12-31,10.1003
2011-01-03,10.1021
2011-01-04,10.1057
2011-01-05,10.1226
2011-01-06,10.1268
2011-01-07,10.1253
2011-01-10,10.1249
2011-01-11,10.12
2011-01-12,10.1191
2011-01-13,10.1183
2011-01-14,10.1208
2011-01-17,10.1285
2011-01-18,10.1297
2011-01-19,10.1323
2011-01-20,10.1345
2011-01-21,10.1335
2011-01-24,10.1396
2011-01-25,10.1421
2011-01-27,10.1482
2011-01-28,10.1505
2011-01-31,10.1538
2011-02-01,10.1536
2011-02-02,10.1541
2011-02-03,10.1549
2011-02-04,10.1584
2011-02-07,10.1644
2011-02-08,10.1655
2011-02-09,10.1679
2011-02-10,10.1702
2011-02-11,10.1722
2011-02-14,10.1784
2011-02-15,10.1769
2011-02-17,10.1825
2011-02-18,10.1852
2011-02-21,10.1915
2011-02-22,10.1931
2011-02-23,10.1939
2011-02-24,10.1952
2011-02-25,10.1969
2011-02-28,10.2047
2011-03-01,10.2072
2011-03-03,10.2126
2011-03-04,10.216
2011-03-07,10.2236
2011-03-08,10.2298
2011-03-09,10.2347
2011-03-10,10.2393
2011-03-11,10.246
2011-03-14,10.2517
2011-03-15,10.2516
2011-03-16,10.2551
2011-03-17,10.2581
2011-03-18,10.2601
2011-03-21,10.2647
2011-03-22,10.2643
2011-03-23,10.2651
2011-03-24,10.2696
2011-03-25,10.2721
2011-03-28,10.2943
2011-03-29,10.3031
2011-03-30,10.3067
2011-03-31,10.3243
2011-04-01,0.0
2011-04-05,10.3612
2011-04-06,10.369
2011-04-07,10.3743
2011-04-08,10.3786
2011-04-11,10.3799
2011-04-13,10.385
2011-04-15,10.3896
2011-04-18,10.3955
2011-04-19,10.397
2011-04-20,10.3985
2011-04-21,10.399
2011-04-25,10.4077
2011-04-26,10.4091
2011-04-27,10.41
2011-04-28,10.4124
2011-04-29,10.4135
2011-05-02,10.419
2011-05-03,10.4128
2011-05-04,10.4151
2011-05-05,10.4177
2011-05-06,10.4206
2011-05-09,10.4285
2011-05-10,10.4306
2011-05-11,10.4336
2011-05-12,10.4366
2011-05-13,10.4412
2011-05-16,10.4476
2011-05-18,10.4516
2011-05-19,10.4544
2011-05-20,10.4543
2011-05-23,10.4601
2011-05-24,10.4611
2011-05-25,10.4608
2011-05-26,10.4614
2011-05-27,10.4621
2011-05-30,10.4692
2011-05-31,10.4711
2011-06-01,10.4747
2011-06-02,10.479
2011-06-03,10.482
2011-06-06,10.4949
2011-06-07,10.4978
2011-06-08,10.5007
2011-06-09,10.5052
2011-06-10,10.5099
2011-06-13,10.5186
2011-06-14,10.5227
2011-06-15,10.5255
2011-06-16,10.5339
2011-06-17,10.5384
2011-06-20,10.5507
2011-06-21,10.5549
2011-06-22,10.5559
2011-06-23,10.5561
2011-06-24,10.56
2011-06-27,10.57
2011-06-28,10.5748
2011-06-29,10.5793
2011-06-30,10.582
2011-07-04,10.5925
2011-07-05,10.5963
2011-07-06,10.5989
2011-07-07,10.6016
2011-07-08,10.6042
2011-07-11,10.612
2011-07-12,10.6146
2011-07-13,10.6173
2011-07-14,10.6199
2011-07-15,10.6225
2011-07-18,10.6304
2011-07-19,10.633
2011-07-20,10.6356
2011-07-21,10.6382
2011-07-22,10.6408
2011-07-25,10.6487
2011-07-26,10.6513
2011-07-27,10.6539
2011-07-28,10.6565
2011-07-29,10.6592
2011-08-01,10.667
2011-08-02,10.6696
2011-08-03,10.6722
2011-08-04,10.6749
2011-08-05,10.6775
2011-08-08,10.6853
2011-08-09,10.6879
2011-08-10,10.6906
2011-08-11,10.6932
2011-08-12,10.6958
2011-08-16,10.7063
2011-08-17,10.7089
2011-08-18,10.7115
2011-08-22,10.722
2011-08-23,10.7246
2011-08-24,10.7272
2011-08-25,10.7298
2011-08-26,10.7324
2011-08-29,10.7403
2011-08-30,10.7429
2011-09-02,10.7507
2011-09-05,10.7586
2011-09-06,10.7612
2011-09-07,10.7638
2011-09-08,10.7664
2011-09-09,10.769
2011-09-12,10.7769
2011-09-13,10.7795
2011-09-14,10.7821
2011-09-15,10.7847
2011-09-16,10.7873
2011-09-19,10.7952
2011-09-20,10.7978
2011-09-21,10.8004
2011-09-22,10.803
2011-09-23,10.8056
2011-09-26,10.8135
2011-09-27,10.816
2011-09-28,10.8186
2011-09-29,10.8209
2011-10-03,10.8301
2011-10-04,0.0
2011-10-05,0.0
2011-10-07,0.0
2011-10-10,0.0
2011-10-11,0.0
2011-10-12,0.0
2011-10-13,0.0
2011-10-14,0.0
2011-10-17,0.0
2011-10-18,0.0
2011-10-19,0.0
2011-10-20,0.0
