scheme_code,scheme_name,category,status
119196,Daiwa Government Securities Fund - Short Term Plan - Direct - Growth Option,Short Duration,skip
119202,Tata Large & MId Cap Fund -Direct Plan- Growth Option,Mid Cap,ok
119205,DSP Ultra Short Fund - Direct Plan - Growth,Short Duration,ok
119208,Morgan Stanley Multi Asset Fund- Plan A - Direct Growth Plan,Other,ok
119212,DSP Small Cap Fund - Direct Plan - Growth,Small Cap,ok
119215,Morgan Stanley Multi Asset Fund- Plan B - Direct Growth Plan,Other,ok
119218,DSP Large & Mid Cap Fund - Direct Plan - Growth,Mid Cap,ok
119226,DSP Short Term Fund - Direct Plan - Growth,Short Duration,ok
119227,Morgan Stanley Short Term Bond Fund - Direct Growth,Short Duration,ok
119231,Tata Value Fund -Direct Plan Growth Option,Other,ok
119234,Tata Dividend Yield Fund-Direct Plan Growth,Other,ok
